mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01624903678894043,0.0031573161465872713,0.012218570709228516,0.005935751842689712,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.5520833333333334,0.5520833333333334,0.5572916666666666,0.5572916666666666,0.5572916666666666,0.5552083333333333,0.0025515518153991076,16
0.012635135650634765,0.004745928018196712,0.006469106674194336,0.002564065239786782,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.921875,0.9479166666666666,0.9010416666666666,0.8854166666666666,0.8697916666666666,0.9052083333333332,0.02744154140066561,15
0.006797409057617188,0.0012167500829084268,0.006215190887451172,0.003801248879232447,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9947916666666666,0.9791666666666666,0.984375,0.9739583333333334,0.9739583333333334,0.98125,0.00779511955577902,11
0.013983392715454101,0.009431975012946845,0.0046503543853759766,0.00047527711303094704,0.1,1.0,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.9947916666666666,0.9947916666666666,0.9947916666666666,0.9947916666666666,0.9947916666666666,0.9947916666666666,0.0,8
0.010947561264038086,0.00245532969221649,0.004857587814331055,0.0008011053202308212,1.0,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.921875,0.9479166666666666,0.9114583333333334,0.890625,0.8802083333333334,0.9104166666666667,0.023844839879707473,14
0.006734371185302734,0.002473444364301923,0.004266214370727539,0.002597303017415518,1.0,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.9947916666666666,0.9635416666666666,0.984375,0.9739583333333334,0.9739583333333334,0.978125,0.010622957319984961,12
0.004111194610595703,0.0017011446312270692,0.0014946460723876953,0.0004883323536520208,1.0,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9947916666666666,0.9947916666666666,0.9947916666666666,0.9947916666666666,1.0,0.9958333333333332,0.002083333333333348,7
0.002865314483642578,0.00026531234051489923,0.0011425018310546875,1.919943235172769e-05,1.0,1.0,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,0.9947916666666666,0.9989583333333334,0.002083333333333348,3
0.00402684211730957,0.000663156028084254,0.0022207260131835937,0.0005089869497131537,10.0,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.9947916666666666,0.9635416666666666,0.9791666666666666,0.9739583333333334,0.9739583333333334,0.9770833333333334,0.010206207261596564,13
0.002465343475341797,0.0008982640819327858,0.0010092735290527343,5.529613069831351e-05,10.0,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.9947916666666666,0.9791666666666666,0.984375,0.9791666666666666,0.9895833333333334,0.9854166666666666,0.006073908223797197,9
0.0025617122650146485,0.0019226072066359928,0.0010149002075195313,0.000664663183115251,10.0,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0029523372650146484,0.001121872010493746,0.0013268947601318359,0.0006080158363925499,10.0,1.0,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,0.9947916666666666,0.9989583333333334,0.002083333333333348,3
0.002700519561767578,0.0009718053520423015,0.0012894630432128905,0.0005299758881959014,100.0,0.001,rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.9947916666666666,0.9791666666666666,0.984375,0.9791666666666666,0.9895833333333334,0.9854166666666666,0.006073908223797197,9
0.002044868469238281,0.0005249602341679693,0.0007104873657226562,3.1730637753284695e-05,100.0,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,0.9947916666666666,1.0,1.0,1.0,0.9989583333333332,0.002083333333333348,6
0.0014209747314453125,0.00023621316362804594,0.0005680084228515625,2.4817805190249067e-05,100.0,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0021786212921142576,0.00032080175870344757,0.0008939266204833985,4.471568259048743e-05,100.0,1.0,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,0.9947916666666666,0.9989583333333334,0.002083333333333348,3
