label,precision,recall,f1-score,support
<=50K,0.865198078143414,0.9352278294953454,0.898851007722735,10205.0
>50K,0.7393533123028391,0.557703747769185,0.6358087487283826,3362.0
accuracy,0.8416746517284588,0.8416746517284588,0.8416746517284588,0.8416746517284588
macro avg,0.8022756952231265,0.7464657886322652,0.7673298782255588,13567.0
weighted avg,0.8340128417052911,0.8416746517284588,0.8336672475149505,13567.0
