label,precision,recall,f1-score,support
<=50K,0.8706312900274474,0.932484076433121,0.9004968062455643,10205.0
>50K,0.7387182404247251,0.5794170136823319,0.6494415735955993,3362.0
accuracy,0.8449915235497899,0.8449915235497899,0.8449915235497899,0.8449915235497899
macro avg,0.8046747652260863,0.7559505450577264,0.7749691899205817,13567.0
weighted avg,0.8379422893077341,0.8449915235497899,0.8382835172229962,13567.0
