label,precision,recall,f1-score,support
<=50K,0.8708348590259978,0.9321901028907398,0.9004685503336647,10205.0
>50K,0.738176314793795,0.5803093396787626,0.6497918401332223,3362.0
accuracy,0.8449915235497899,0.8449915235497899,0.8449915235497899,0.8449915235497899
macro avg,0.8045055869098964,0.7562497212847512,0.7751301952334435,13567.0
weighted avg,0.8379611193850554,0.8449915235497899,0.8383490618915709,13567.0
