label,precision,recall,f1-score,support
<=50K,0.8634881825590872,0.9451382694023194,0.9024701873935264,2242.0
>50K,0.7747252747252747,0.558047493403694,0.6487730061349694,758.0
accuracy,0.8473333333333334,0.8473333333333334,0.8473333333333334,0.8473333333333334
macro avg,0.8191067286421809,0.7515928814030066,0.7756215967642479,3000.0
weighted avg,0.8410607545130773,0.8473333333333334,0.8383693662621977,3000.0
